Resp_Center,Comp_Type,Comp_Catg.,Act,Comp_Desc,TimeLine,Periodicity,Department,Responsible_Person,Approving Authority,Task,Due_Dt,Target_Dt,Amount_Payable,Attachment_Mandatory,Acknowledgement_Req,Acknowledgement_Days
,Legal,Advance Tax,Income Tax Act,"Advance tax refers to paying a part of your taxes before the end of the financial year. Also called ‘pay-as-you-earn’ scheme, advance tax is the income tax payable if your tax liability is more than Rs. 10,000 in a financial year. It should be paid in the year in which the income is received.  ",Due DateAmount PayableOn or before 15th JuneNot less than 15% of the advance tax liabilityOn or before 15th SeptemberNot Less than the 45% of the Advance tax liabilityOn or before 15th DecemberNot Less than the 75% of the Advance tax liabilityOn or before 15th MarchNot Less than the 100% of the Advance tax liability ,Quarterly  ,Central Office,,,,,,,,,
NO/Village,Legal,Advance Tax,Income Tax Act,"Due date to file Income Tax Return is 30th September of the relevant assessment year.For example: Assessment year 2017-18 i.e. financial year 2016-17, income tax return filing due date is 30th September 2017.Return Filing Form: ITR-7",30th September,Yearly,Central Office,,,,,,,,,
,Legal,Income Tax Return,Income Tax Act,Belated Return- Can be filed before the expiry of one year from the end of the relevant Assessment year or before the completion of assessment whichever is earlier, ,As and when, ,,,,,,,,,
,Legal,Income Tax Return,Income Tax Act,Revised Return : Can be filed before the expiry of one year from the end of the relevant Assessment year or before the completion of assessment whichever is earlier,As and when,As and when, ,,,,,,,,,
,Legal,Income Tax Return,Income Tax Act,"FILING OF FORM 10 : Notice to the Assessing Officer/Prescribed Authority under section 11(2) of the Income tax Act, 1961 : within due date of filing of return of Income  i.e  30th September",30th September,Yearly, ,,,,,,,,,
,Legal,Income Tax Return,Income Tax Act,"Consequences of failure to furnish return of income:Interest u/s 234A, 234B,234C wherever applicable.Penalty u/s 271 F – Rs. 5000Penalty u/s 272A(2)(e)-Rs. 100/- per day during which the failure continues.",As and when,As and when, ,,,,,,,,,
NO/Village,Legal,,Income Tax Act,Assessment of Charitable Trust or institutions:There are three types of assessments:Scrutiny Assessment u/s 143(3): An assessment made after scrutinizing of books of accounts – Notice can be served within 6 months from the end of financial year in which the return is furnished.Best Judgment assessment u/s 144: Assessment made by the Assessing officer to the best of his judgment if assessee does not reply the notices and not attended his office after giving the opportunities.Income Escaping Assessment u/s 147/148: Time limit- 4 years from the end of relevant Assessment year.,As and when,As and when,, ,,,,,,,,
,Legal,,Income Tax Act,Rectification of Mistake under section 154:Where a mistake is apparent from the record Income tax authority may amend the order u/s 154  OR  Assessee can apply for the rectification u/s154.Time Limit : 4 years from the end of Financial year for filing applicationThe A.O shall pass the order within 6 months from the end of month in which application is received. ,As and when,As and when,, ,,,,,,,,
NO/Village,Legal,,Audit and Assurance,"Section 12 A (1) (b) of the Income tax Act provides for the requirement of audit of books of account of a trust or institution, Where the income exceeds the maximum amount not chargeable to tax( Rs. 250000/- for AY 2017-18), before giving exemptions u/s 11 and 12Audit report in Form 10 B,Last date of filing audit report will be September, 30.mandatory electronic filing with return of income  ",September 30,Yearly,, ,,,,,,,,
,Legal,,Audit and Assurance,"When Charitable or religious trust or institution engage in business activity  and the limit of business gross receipts exceeds the prescribed u/s 44A (Rs. 1 crore for AY 2017-18)  the auditor report in form 3CA and Annexure will be in 3CD.Last date of filing audit report will be September, 30.electronically filing", , ,, ,,,,,,,,
,Legal,,Audit and Assurance,"Penalties for non furnishing of Audit Report under section 44AB:Penalty under section 271B will be levied for failure to get the accounts audited or failure to furnish a report of audit as required under section 44AB. Penalty shall be one-half per cent of total sales, turnover or gross receipts, etc., or Rs. 1,50,000, whichever is less.",As and when,As and when, ,,,,,,,,,
NO/Village,Legal,,Income Tax Act,Conditions of exemption of income to NGOsThe Income must be  derived from property held under trust or legal obligationSuch trust or other legal obligation should be wholly for religious or charitable purposeSuch Income is applied or accumulated for application to such religious or charitable purposes within the taxable territories of India.To the extent to which the income so accumulated or set apart is not in excess of 15% of the income from such property.,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,
NO/Village,Legal,,Income Tax Act,"Section 11(1)(a) provides that in order to claim exemption from tax, then, out of the income, at least 85% of such income should be applied for charitable or religious purposes.When income could not be applied or ceases to be applied for such purposes or ceases to remain invested in accordance with sec 11(5), in such cases it will be deemed as income and is liable to be taxed. ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,
NO/Village,Legal,,Income Tax Act,"Section 11 (4A) of Income Tax Act enables charitable or religious trusts or institutions to carry on business, subject to the conditions, it should be incidental to the main objects and separate books of accounts have to be maintained. –then the profit of the business will be exempt. However the aggregate receipt from such business activity during the previous year does not exceed 20% of the total receipts of the Trusts or Institutions undertaking such activities. ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,
NO/Village,Legal,,Income Tax Act,"When a capital asset which has been held as property of the trust, then on transfer of such  asset, if he income thereon will constitute income derived from the property held under trust- if Net consideration is invested in acquiring another new capital asset, it would qualify for exemption",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,
NO/Village,Legal,,Finance Act,"It can be said that the voluntary organizations like charitable trusts, NGOs, Rotary Clubs etc., would not be liable to service tax. However, in case some fees / charges are received from the receivers of services, there may be issue of service tax and the exemptions provided in the law should be of some help. ",As and when,As and when,Central Office,,,,,,,,,
,Legal,Service Tax,Finance Act,Basic Exemption Limit of Service Tax is Rs. 10 Lakhs, , , ,,,,,,,,,
,Legal,Service Tax,Finance Act,"Rate of Service tax is 15%  Basic service tax-
14%-Basic Service Tax
0.5%-Swach Bharat Cess
0.5%- Krishi Kalyan Cess
", , , ,,,,,,,,,
,Legal,Service Tax,Finance Act,Due date to pay Service Tax Liability,"Due date to pay service tax liability is 6th of following month, but for the month of March, due date is March 31.",Monthly,Central Office,,,,,,,,,
,Legal,Service Tax,Finance Act,Interest for delayed payment24% per annum if Service tax has been collected and not paid before due date15% per annum if Service tax has not been collected and not paid,As and when,As and when, ,,,,,,,,,
,Legal,Service Tax,Finance Act,Return filingHalf yearly return in Form ST-3Mode of Filing-Electronically Filed ,"Due date to file ST-325th of following half yearFor example: for the half year ended April to September, the due date to file service tax return is 25th of October.",Half Yearly,Central Office,,,,,,,,,
,Legal,Service Tax,Finance Act,Revision of Service Tax Return,Form ST 3 can be revised and submitted again within 90days from the date of filing of original return.,Within 90 days of filing original return,Central Office,,,,,,,,,
NO/Village,Legal,Service Tax,Finance Act,Penalty for late filing of Service Tax Return:Delayupto 15 days-Rs. 500/-15-30 days-Rs. 1000/-More than 30 days- Rs. 1000+Rs100 each day but not exceeding Rs. 20000/-,As and when,As and when, ,,,,,,,,,
,Legal,Service Tax,Finance Act,Penalties for failure to pay service tax:Max. 10% of Service Tax Amt. Nil if Service Tax + Interest paid within 30 days of Service of Show Cause Notice 25% of penalty if Service Tax + Interest + Penalty paid within 30 days of receipt of order,As and when,As and when, ,,,,,,,,,
,Legal,Service Tax,Finance Act,Penalty for default in obtaining Service Tax Registration  : Upto Rs 10000 ,As and when,As and when, ,,,,,,,,,
,Legal,Service Tax,Finance Act," Failure to keep, maintain or retain books of account and other documents required  : Upto Rs. 10,000 ", As and when, As and when, ,,,,,,,,,
,Legal,Service Tax,Finance Act,Assessee fails to pay service tax electronically  :  Upto Rs. 10000 ,As and when,As and when, ,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
